####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
"LJN["		sp=verb:vc=LIJN:gl=lodge
"LJY["		sp=verb:vc=LIJY:gl=boast
"LJC/"		sp=subs:fc=ai:gn=m:vc=LAJIC:gl=lion
"LJC=/"		sp=nmpr:sm=topo:vc=LAJIC:gl=<locality>
"LJC==/"	sp=nmpr:sm=pers:gn=m:vc=LAJIC:gl=Laish
"LJCH/"		sp=nmpr:sm=topo:vc=LAJ\:C@H:gl=Laishah
"LKD["		sp=verb:vc=L@KAD:gl=seize
"LKD/"		sp=subs:fc=seg:gn=m:vc=LEKED:gl=capture
"LKH/"		sp=nmpr:sm=topo:vc=L;K@H:gl=Lecah
"LKJC/"		sp=nmpr:sm=topo:rt=LKC:vc=L@KIJC:gl=Lachish
"LKN"		sp=advb:ls=cjad:vc=L@K;N:gl=therefore
"LL>T/"		sp=subs:vc=LUL@>OT:gl=loops
"LMD["		sp=verb:vc=L@MAD:gl=learn
"LMD/"		sp=subs:fc=iu:gn=m:vc=LIM.UD:gl=disciple
"LMH"		sp=inrg:rt=MH:vc=L@M@H:gl=why
"LMW"		sp=prep:vc=L\:MOW:gl=to
"LMW>L/"	sp=nmpr:sm=pers:gn=m:vc=L\:MW.>;L:gl=Lemuel
"LMK/"		sp=nmpr:sm=pers:gn=m:vc=LEMEK\::gl=Lamech
"LM<N"		sp=prep:rt=<NH:vc=L\:MA<AN:gl=because of
"LN/"		sp=adjv:rt=LWN:vc=L;N:gl=spending night
"L</"		sp=subs:gn=m:vc=LO<A:gl=throat
"L<B["		sp=verb:fc=2g:gl=delight
"L<G["		sp=verb:vc=L@<AG:gl=mock
"L<G/"		sp=subs:gn=m:vc=LA<AG:gl=derision
"L<G=/"		sp=subs:fc=ae:vc=L@<;G:gl=stammering
"L<DH/"		sp=nmpr:sm=pers:gn=m:vc=LA<\:D.@H:gl=Laadah
"L<DN/"		sp=nmpr:sm=pers:gn=m:vc=LA<\:D.@N:gl=Ladan
"L<Z["		sp=verb:fc=2g:gl=speak unintelligibly
"L<V["		sp=verb:fc=2g:gl=swallow
"L<NH/"		sp=subs:vc=LA<\:AN@H:gl=wormwood
"L<<["		sp=verb:vc=L@<A<:gl=talk inconsiderately
"L<<=["		sp=verb:vc=L@<A<:gl=sip
"LPJD/"		sp=subs:fc=ai:gn=m:vc=LAP.IJD:gl=torch
"LPJDWT/"	sp=nmpr:sm=pers:gn=m:vc=LAP.IJDOWT:gl=Lappidoth
"LPT["		sp=verb:vc=L@PAT:gl=grasp
"LY/"		sp=adjv:rt=LJY:vc=L;Y:gl=scorner
"LYWN/"		sp=subs:gn=m:rt=LJY:vc=L@YOWN:gl=boasting
"LQWM/"		sp=nmpr:sm=topo:vc=LAQ.W.M:gl=Lakkum
"LQX["		sp=verb:fc=1n,3g:vc=L@QAX:gl=take
"LQX/"		sp=subs:fc=seg:gn=m:vc=LEQAX:gl=teaching
"LQXJ/"		sp=nmpr:sm=pers:gn=m:vc=LIQ\:XIJ:gl=Likhi
"LQV["		sp=verb:vc=L@QAV:gl=gather
"LQV/"		sp=subs:fc=seg:gn=m:vc=LEQEV:gl=gleaning
"LQQ["		sp=verb:vc=L@QAQ:gl=lick
"LQC["		sp=verb:gl=despoil
"LQC/"		sp=subs:fc=seg:gn=m:vc=LEQEC:gl=late sowing
"LCD/"		sp=subs:gn=m:vc=L@C@D:gl=dainty
"LCWN/"		sp=subs:rt=LCN:vc=L@COWN:gl=tongue
"LCKH/"		sp=subs:vc=LIC\:K.@H:gl=hall
"LCM/"		sp=subs:fc=seg:gn=m:vc=LECEM:gl=<gem>
"LCM=/"		sp=nmpr:sm=topo:vc=LECEM:gl=Leshem
"LCN["		sp=verb:gl=slander
"LC</"		sp=nmpr:fc=seg:sm=topo:vc=LECA<:gl=Lasha
"LTK/"		sp=subs:fc=seg:gn=m:vc=L;TEK\::gl=letek:co=unit
"M>BWS/"	sp=subs:vc=MA>\:ABW.S:gl=granary
"M>D/"		sp=subs:ls=padv:gn=m:vc=M\:>OD:gl=might
"M>H/"		sp=subs:ls=card:rt=M>H:vc=M;>@H:gl=hundred
"M>H=/"		sp=nmpr:sm=topo:rt=M>H:vc=M;>@H:gl=the Hundred
"M>WJJM/"	sp=subs:vc=MA>\:AWAJ.IJM:gl=desire
"M>WM/"		sp=subs:gn=m:vc=M>W.M:gl=blemish
"M>WMH/"	sp=subs:vc=M\:>W.M@H:gl=something
"M>WR/"		sp=subs:fc=ao:gn=m:vc=M@>OWR:gl=lamp
"M>WRH/"	sp=subs:vc=M\:>W.R@H:gl=young one
"M>ZNJM/"	sp=subs:gn=m:vc=MO>Z\:NAJIM:gl=balances
"M>KL/"		sp=subs:gn=m:vc=MA>\:AK@L:gl=food
"M>KLT/"	sp=subs:fc=seg:vc=MA>\:AKELET:gl=knife
"M>KLT=/"	sp=subs:fc=seg:vc=MA>\:AKOLET:gl=food
"M>MY/"		sp=subs:vc=MA>\:AM@Y:gl=effort
"M>MR/"		sp=subs:gn=m:vc=MA>\:AM@R:gl=word
"M>N["		sp=verb:vc=M@>;N:gl=refuse
"M>S["		sp=verb:vc=M@>AS:gl=reject
"M>S=["		sp=verb:vc=M@>AS:gl=waste away
"M>PH/"		sp=subs:gn=m:vc=MA>\:APEH:gl=cake
"M>PL/"		sp=subs:gn=m:vc=MA>\:AP;L:gl=darkness
"M>PLJH/"	sp=subs:vc=MA>\:P.;L\:J@H:gl=<uncertain>
"M>R["		sp=verb:fc=2>:gl=hurt
"M>RB/"		sp=subs:gn=m:vc=MA>\:R@B:gl=ambush
"M>RH/"		sp=subs:vc=M\:>;R@H:gl=curse
"MBDLH/"	sp=subs:rt=BDL:vc=MIB\:D.@L@H:gl=enclave
"MBW>/"		sp=subs:fc=ao:gn=m:vc=M@BOW>:gl=entrance
"MBWKH/"	sp=subs:vc=M\:BW.K@H:gl=confusion
"MBWL/"		sp=subs:gn=m:vc=MAB.W.L:gl=deluge
"MBWSH/"	sp=subs:vc=M\:BW.S@H:gl=subjugation
"MBW</"		sp=subs:gn=m:vc=MAB.W.<A:gl=spring
"MBWQH/"	sp=subs:vc=M\:BW.Q@H:gl=emptiness
"MBWCJM/"	sp=subs:vc=M\:BW.CIJM:gl=private parts
"MBXWR/"	sp=subs:gn=m:rt=BXR:vc=MIB\:XOWR:gl=choice
"MBXR/"		sp=subs:gn=m:rt=BXR:vc=MIB\:X@R:gl=choice
"MBXR=/"	sp=nmpr:sm=pers:gn=m:vc=MIB\:X@R:gl=Mibhar
"MBV/"		sp=subs:gn=m:vc=MAB.@V:gl=hope
"MBV>/"		sp=subs:gn=m:rt=BV>:vc=MIB\:V@>:gl=promise
"MBVX/"		sp=subs:gn=m:rt=BVX:vc=MIB\:V@X:gl=trust
"MBLJGJT/"	sp=subs:gn=f:rt=BLG:vc=MAB\:LIJGIJT:gl=<uncertain>
"MBNH/"		sp=subs:gn=m:vc=MIB\:NEH:gl=structure
"MBNJ/"		sp=nmpr:sm=pers:gn=m:vc=M\:BUN.AJ:gl=Mebunnai
"MBYR/"		sp=subs:gn=m:rt=BYR:vc=MIB\:Y@R:gl=fortification
"MBYR=/"	sp=nmpr:sm=pers:gn=m:vc=MIB\:Y@R:gl=Mibzar
"MBRX/"		sp=subs:rt=BRX:vc=MIB\:R@X:gl=<uncertain>
"MBFM/"		sp=nmpr:sm=pers:gn=m:vc=MIB\:F@M:gl=Mibsam
"MBCLWT/"	sp=subs:vc=M\:BAC.\:LOWT:gl=cooking places
"MG/"		sp=subs:gn=m:rt=<Assyrian>:vc=M@G:gl=official
"MGBJC/"	sp=nmpr:sm=pers:gn=m:vc=MAG\:B.IJC:gl=Magbish
"MGBLT/"	sp=subs:vc=MIG\:B.@LOT:gl=cords
"MGB<H/"	sp=subs:vc=MIG\:B.@<@H:gl=head-gear
"MGD/"		sp=subs:fc=seg:gn=m:vc=MEGED:gl=present
"MGDW/"		sp=nmpr:sm=topo:vc=M\:GID.OW:gl=Megiddo
"MGDWL/"	sp=subs:gn=m:vc=MIG\:D.OWL:gl=<uncertain>
"MGDJ>L/"	sp=nmpr:sm=pers:gn=m:vc=MAG\:D.IJ>;L:gl=Magdiel
"MGDL/"		sp=subs:gn=m:vc=MIG\:D.@L:gl=tower
"MGDL=/"	sp=nmpr:sm=topo:vc=MIG\:D.OL:gl=Migdol
"MGDL_>L/"	sp=nmpr:sm=topo:vc=MIG\:D.AL_>;L:gl=Migdal El
"MGDL_GD/"	sp=nmpr:sm=topo:vc=MIG\:D.AL_G.@D:gl=Migdal Gad
"MGDL_SWNH/"	sp=nmpr:sm=topo:vc=MIG\:D.OL_S\:W;N;H:gl=from Migdol to Aswan
"MGDL_<DR/"	sp=nmpr:sm=topo:vc=MIG\:D.AL_<;DER:gl=Migdal Eder
"MGDNWT/"	sp=subs:rt=MGD:vc=MIG\:D.@NOWT:gl=presents
"MGWG/"		sp=nmpr:fc=ao:sm=topo:vc=M@GOWG:gl=Magog
"MGWR/"		sp=subs:fc=ao:gn=m:vc=M@GOWR:gl=horror
"MGWRH/"	sp=subs:vc=M\:GOWR@H:gl=horror
"MGWRH=/"	sp=subs:vc=M\:GW.R@H:gl=corn-pit
"MGWRJM/"	sp=subs:vc=M\:GW.RIJM:gl=neighbourhood
"MGWRM/"	sp=subs:vc=M\:GW.R@M:gl=<uncertain>
"MGZRH/"	sp=subs:vc=MAG\:Z;R@H:gl=axe
"MGL/"		sp=subs:gn=m:vc=MAG.@L:gl=sickle
"MGLH/"		sp=subs:vc=M\:GIL.@H:gl=roll
"MGMT/"		sp=subs:rt=GMM:vc=M\:GAM.AT:gl=<uncertain>
"MGN["		sp=verb:gl=deliver
"MGN/"		sp=subs:fc=ae:vc=M@G;N:gl=shield
"MGN=/"		sp=adjv:rt=MGN:vc=M@G;N:gl=insolent
"MGNH/"		sp=subs:vc=M@GIN.@H:gl=insolence
"MG<RT/"	sp=subs:fc=seg:vc=MIG\:<ERET:gl=rebuke
"MGPH/"		sp=subs:vc=MAG.;P@H:gl=blow
"MGPJ<C/"	sp=nmpr:sm=pers:gn=m:vc=MAG\:P.IJ<@C:gl=Magpiash
"MGR["		sp=verb:gl=hurl
"MGRH/"		sp=subs:vc=M\:G;R@H:gl=stone-saw
"MGRWN/"	sp=nmpr:sm=topo:rt=<uncertain>:vc=MIG\:ROWN:gl=Migron
"MGR<WT/"	sp=subs:vc=MIG\:R@<OWT:gl=recesses
"MGRPH/"	sp=subs:rt=GRP:vc=MEG\:R@P@H:gl=shovel
"MGRC/"		sp=subs:gn=m:rt=GRC:vc=MIG\:R@C:gl=pasture
"MGRCWT/"	sp=subs:vc=MIG\:R\:COWT:gl=<uncertain>
"MD/"		sp=subs:gn=m:rt=MDD:vc=MAD:gl=cloth
"MDBR/"		sp=subs:gn=m:vc=MID\:B.@R:gl=desert
"MDBR=/"	sp=subs:gn=m:vc=MID\:B.@R:gl=speaking
"MDD["		sp=verb:fc=22:vc=M@DAD:gl=measure
"MDH/"		sp=subs:gn=f:rt=MDD:vc=MID.@H:gl=measured stretch
"MDH=/"		sp=subs:vc=MID.@H:gl=tribute
"MDHBH/"	sp=subs:vc=MAD\:H;B@H:gl=<uncertain>
"MDW/"		sp=subs:vc=M@DW.:gl=garment
"MDWH/"		sp=subs:gn=m:vc=MAD\:WEH:gl=sickness
"MDWXJM/"	sp=subs:vc=MAD.W.XIJM:gl=enticement
"MDWN/"		sp=subs:gn=m:rt=DJN:vc=M@DOWN:gl=contention
"MDWN=/"	sp=nmpr:sm=topo:vc=M@DOWN:gl=Madon
"MDW<"		sp=inrg:vc=MAD.W.<A:gl=why
"MDWRH/"	sp=subs:vc=M\:DW.R@H:gl=pile
"MDXH/"		sp=subs:gn=m:vc=MID\:XEH:gl=overthrow
"MDXPH/"	sp=subs:vc=MAD\:X;P@H:gl=thrust
"MDJ/"		sp=nmpr:sm=pers,gens,topo:vc=M@DAJ:gl=Media
"MDJ=/"		sp=adjv:ls=gntl:vc=M@DIJ:gl=Mede
"MDJN/"		sp=subs:rt=DJN:vc=MID\:J@N:gl=contention
"MDJN=/"	sp=nmpr:sm=pers,gens,topo:vc=MID\:J@N:gl=Midian
"MDJN==/"	sp=nmpr:sm=topo:vc=MID.IJN:gl=Middin
"MDJNH/"	sp=subs:vc=M\:DIJN@H:gl=district
"MDJNJ/"	sp=adjv:ls=gntl:vc=MID\:J@NIJ:gl=Midianite
"MDKH/"		sp=subs:rt=DWK:vc=M\:DOK@H:gl=mortar
"MDMN/"		sp=nmpr:sm=topo:vc=MAD\:M;N:gl=Madmen
"MDMNH/"	sp=subs:vc=MAD\:M;N@H:gl=dung-place
"MDMNH=/"	sp=nmpr:sm=topo:vc=MAD\:M;N@H:gl=Madmenah
"MDMNH==/"	sp=nmpr:sm=pers:gn=m:vc=MAD\:MAN.@H:gl=Madmannah
"MDMNH===/"	sp=nmpr:sm=topo:vc=MAD\:MAN.@H:gl=Madmannah
"MDN/"		sp=nmpr:sm=pers:gn=m:vc=M\:D@N:gl=Medan
"MDNJ/"		sp=adjv:ls=gntl:vc=M\:D@NIJ:gl=Medanite
"MD</"		sp=subs:gn=m:vc=MAD.@<:gl=knowledge
"MD<=/"		sp=subs:gn=m:vc=MOD@<:gl=kinsman
"MD<T/"		sp=subs:rt=JD<:vc=MODA<AT:gl=kinsman
"MDQRH/"	sp=subs:vc=MAD\:Q;R@H:gl=stab
"MDRGH/"	sp=subs:vc=MAD\:R;G@H:gl=steep way
"MDRK/"		sp=subs:gn=m:vc=MID\:R@K\::gl=footstep
"MDRC/"		sp=subs:gn=m:rt=DRC:vc=MID\:R@C:gl=exposition
"MDCH/"		sp=subs:vc=M\:DUC@H:gl=trample
"MH"		sp=prin:gn=unknown:nu=unknown:vc=M@H:gl=what
"MHH["		sp=verb:vc=M@HAH.:gl=tarry
"MHWMH/"	sp=subs:vc=M\:HW.M@H:gl=discomfiture
"MHWMN/"	sp=nmpr:sm=pers:gn=m:vc=M\:HW.M@N:gl=Mehuman
"MHJVB>L/"	sp=nmpr:sm=pers:gn=m,f:vc=M\:H;JVAB\:>;L:gl=Mehetabel
"MHJR/"		sp=adjv:rt=MHR:vc=M@HIJR:gl=quick
"MHL["		sp=verb:gl=vitiate
"MHLK/"		sp=subs:gn=m:vc=MAH\:AL@K\::gl=passage
"MHLL/"		sp=subs:gn=m:vc=MAH\:AL@L:gl=fame
"MHLL>L/"	sp=nmpr:sm=pers:gn=m:vc=MAH\:ALAL\:>;L:gl=Mahalalel
"MHLMWT/"	sp=subs:vc=MAH\:ALUMOWT:gl=strokes
"MHMRWT/"	sp=subs:vc=MAH\:AMOROWT:gl=rain-pits
"MHPKH/"	sp=subs:vc=MAH\:P.;K@H:gl=overthrow
"MHPKT/"	sp=subs:fc=seg:vc=MAH\:P.EKET:gl=stock
"MHR["		sp=verb:vc=M@HAR:gl=hasten
"MHR/"		sp=subs:gn=m:vc=MOHAR:gl=bride price
"MHR=["		sp=verb:gl=obtain
"MHR_CLL_XC_BZ/"	sp=nmpr:sm=pers:gn=m:vc=MAH;R_C@L@L_X@C_B.AZ:gl=Maher-Shalal-Hash-Baz
"MHRH/"		sp=subs:ls=padv:rt=MHR:vc=M\:H;R@H:gl=haste
"MHRJ/"		sp=nmpr:sm=pers:gn=m:vc=MAH\:RAJ:gl=Maharai
"MHTLWT/"	sp=subs:vc=MAH\:ATAL.OWT:gl=deceit
"MW>B/"		sp=nmpr:sm=pers,gens,topo:vc=MOW>@B:gl=Moab
"MW>BJ/"	sp=adjv:ls=gntl:vc=MOW>@BIJ:gl=Moabite
"MWB>/"		sp=subs:gn=m:vc=MOWB@>:gl=coming
"MWG["		sp=verb:fc=2wj:vc=MW.G:gl=faint
"MWV["		sp=verb:vc=MW.V:gl=totter
"MWV/"		sp=subs:gn=m:vc=MOWV:gl=bar
"MWVH/"		sp=subs:vc=MOWV@H:gl=yoke-bar
"MWK["		sp=verb:vc=MW.K\::gl=grow poor
"MWL["		sp=verb:vc=MW.L:gl=circumcise
"MWL/"		sp=subs:ls=ppre:gn=m:vc=MW.L:gl=front
"MWL=["		sp=verb:vc=MW.L:gl=be off
"MWLDH/"	sp=nmpr:sm=topo:vc=MOWL@D@H:gl=Moladah
"MWLDT/"	sp=subs:rt=JLD:vc=MOWLEDET:gl=offspring
"MWLH/"		sp=subs:vc=MW.L@H:gl=circumcision
"MWLJD/"	sp=nmpr:sm=pers:gn=m:vc=MOWLIJD:gl=Molid
"MWSB/"		sp=subs:gn=m:rt=SBB:vc=MW.S@B:gl=<uncertain>
"MWSD/"		sp=subs:rt=JSD:vc=MOWS@D:gl=foundation
"MWSD=/"	sp=subs:gn=m:rt=JSD:vc=MW.S@D:gl=foundation
"MWSDH/"	sp=subs:rt=JSD:vc=MW.S@D@H:gl=foundation
"MWSDH=/"	sp=subs:rt=JSD:vc=MOWS@D@H:gl=foundation
"MWSK/"		sp=subs:gn=m:vc=MW.S@K\::gl=<uncertain>
"MWSR/"		sp=subs:gn=m:rt=JSR:vc=MW.S@R:gl=chastening
"MWSR=/"	sp=subs:rt=>SR:vc=MOWS;R:gl=band
"MWSRH/"	sp=subs:rt=>SR:vc=MOWS;R@H:gl=band
"MWSRH=/"	sp=nmpr:sm=topo:rt=>SR:vc=MOWS;R@H:gl=Moserah
"MW<D/"		sp=subs:gn=m:vc=MOW<;D:gl=appointment
"MW<D=/"	sp=subs:vc=MOW<@D:gl=place of assemblage
"MW<DH/"	sp=subs:vc=MW.<@D@H:gl=appointing
"MW<DJH/"	sp=nmpr:sm=pers:gn=m:vc=MOW<AD\:J@H:gl=Moadiah
"MW<P/"		sp=subs:gn=m:rt=<WP:vc=MW.<@P:gl=darkness
"MW<YH/"	sp=subs:vc=MOW<;Y@H:gl=counsel
"MW<QH/"	sp=subs:vc=MW.<@Q@H:gl=<uncertain>
"MWPT/"		sp=subs:gn=m:vc=MOWP;T:gl=sign
"MWY>/"		sp=subs:gn=m:vc=MOWY@>:gl=issue
"MWY>=/"	sp=nmpr:sm=pers:gn=m:vc=MOWY@>:gl=Moza
"MWY>H/"	sp=subs:vc=MOWY@>@H:gl=origin
"MWYQ/"		sp=subs:gn=m:rt=JYQ:vc=MW.Y@Q:gl=casting
"MWYQ=/"	sp=subs:gn=m:rt=YWQ:vc=MW.Y@Q:gl=constraint
"MWYQT/"	sp=subs:rt=JYQ:vc=MW.YEQET:gl=casting
"MWQ["		sp=verb:vc=MW.Q:gl=<uncertain>
"MWQD/"		sp=subs:vc=MOWQ;D:gl=hearth
"MWQDH/"	sp=subs:vc=MOWQ\:D@H:gl=<uncertain>
"MWQC/"		sp=subs:gn=m:vc=MOWQ;C:gl=bait
"MWR["		sp=verb:vc=MW.R:gl=exchange
"MWR>/"		sp=subs:gn=m:vc=MOWR@>:gl=fear
"MWRG/"		sp=subs:gn=m:vc=MOWRAG:gl=threshing-sledge
"MWRD/"		sp=subs:gn=m:vc=MOWR@D:gl=descent
"MWRH/"		sp=subs:fc=ptca:gn=m:vc=MOWREH:gl=teacher
"MWRH=/"	sp=subs:gn=m:vc=MOWR@H:gl=razor
"MWRH==/"	sp=subs:vc=MOWR@H:gl=<uncertain>
"MWRH===/"	sp=nmpr:sm=topo:vc=MOWREH:gl=Moreh
"MWRC/"		sp=subs:gn=m:vc=MOWR@C:gl=possession
"MWRC=/"	sp=subs:vc=MOWR@C:gl=desire
"MWRCH/"	sp=subs:vc=MOWR@C@H:gl=possession
"MWRCT_GT/"	sp=nmpr:sm=topo:rt=JRC:vc=MOWRECET_G.AT:gl=Moresheth Gath
"MWRCTJ/"	sp=adjv:ls=gntl:vc=MOWRAC\:T.IJ:gl=from Moresheth
"MWC["		sp=verb:vc=MW.C:gl=depart
"MWC=["		sp=verb:vc=MW.C:gl=touch
"MWCB/"		sp=subs:gn=m:vc=MOWC@B:gl=seat
"MWCJ/"		sp=adjv:ls=gntl:vc=MW.CIJ:gl=Mushite
"MWCJ=/"	sp=nmpr:sm=pers:gn=m:vc=MW.CIJ:gl=Mushi
"MWC<WT/"	sp=subs:vc=MOWC@<OWT:gl=saving acts
"MWT["		sp=verb:fc=2wj:vc=MW.T:gl=die
"MWT/"		sp=subs:fc=seg:gn=m:vc=M@WET:gl=death
"MWTR/"		sp=subs:gn=m:vc=MOWT@R:gl=advantage
"MZBX/"		sp=subs:gn=m:vc=MIZ\:B.;XA:gl=altar
"MZG/"		sp=subs:fc=seg:gn=m:vc=MEZEG:gl=mixed wine
"MZH/"		sp=adjv:rt=MZH:vc=M@ZEH:gl=hungry
"MZH=/"		sp=nmpr:sm=pers:gn=m:vc=MIZ.@H:gl=Mizzah
"MZW/"		sp=subs:vc=M@ZW.:gl=<uncertain>
"MZWZH/"	sp=subs:vc=M\:ZW.Z@H:gl=door-post
"MZWN/"		sp=subs:gn=m:rt=ZWN:vc=M@ZOWN:gl=food
"MZWR/"		sp=subs:fc=ao:gn=m:vc=M@ZOWR:gl=ulcer
"MZWR=/"	sp=subs:fc=ao:gn=m:vc=M@ZOWR:gl=<uncertain>
"MZX/"		sp=subs:fc=seg:gn=m:vc=M;ZAX:gl=girdle
"MZX=/"		sp=subs:fc=seg:gn=m:vc=M;ZAX:gl=shipyard
"MZJX/"		sp=subs:gn=m:vc=M\:ZIJXA:gl=girdle
"MZLG/"		sp=subs:rt=ZLG:vc=MIZ\:L@G:gl=fork
"MZLG=/"	sp=subs:gn=m:vc=MAZ\:L;G:gl=fork
"MZLWT/"	sp=subs:vc=MAZ.@LOWT:gl=constellation
"MZMH/"		sp=subs:vc=M\:ZIM.@H:gl=purpose
"MZMWR/"	sp=subs:gn=m:rt=ZMR:vc=MIZ\:MOWR:gl=psalm
"MZMRH/"	sp=subs:vc=MAZ\:M;R@H:gl=pruning-knife
"MZMRT/"	sp=subs:fc=seg:vc=M\:ZAM.ERET:gl=snuffer
"MZ<R/"		sp=subs:gn=m:rt=Z<R:vc=MIZ\:<@R:gl=trifle
"MZRH/"		sp=subs:gn=m:vc=MIZ\:REH:gl=pitch-fork
"MZRWT/"	sp=subs:vc=MAZ.@ROWT:gl=constellations
"MZRX/"		sp=subs:gn=m:rt=ZRX:vc=MIZ\:R@X:gl=sunrise
"MZRJM/"	sp=subs:rt=ZRH:vc=M\:Z@RIJM:gl=north-winds
"MZR</"		sp=subs:gn=m:rt=ZR<:vc=MIZ\:R@<:gl=seed-land
"MZRQ/"		sp=subs:gn=m:rt=ZRQ:vc=MIZ\:R@Q:gl=bowl
"MX/"		sp=subs:vc=M;XA:gl=fatling
"MX=/"		sp=subs:gn=m:vc=MOXA:gl=marrow
"MX>["		sp=verb:vc=M@X@>:gl=clap
"MXB>/"		sp=subs:gn=m:vc=MAX\:AB;>:gl=hiding-place
"MXB>JM/"	sp=subs:vc=MAX\:ABO>IJM:gl=hiding-places
"MXBRWT/"	sp=subs:vc=M\:XAB.\:ROWT:gl=clamps
"MXBRT/"	sp=subs:fc=seg:vc=MAX\:B.ERET:gl=junction
"MXBT/"		sp=subs:rt=XBT:vc=MAX\:ABAT:gl=griddle
"MXGRT/"	sp=subs:fc=seg:vc=MAX\:AGORET:gl=girding
"MXH["		sp=verb:fc=2g,3h:vc=M@X@H:gl=wipe
"MXH=["		sp=verb:fc=2g,3h:vc=M@X@H:gl=strike
"MXH==["	sp=verb:vc=M@X@H:gl=fill with marrow
"MXWGH/"	sp=subs:vc=M\:XW.G@H:gl=<uncertain>
"MXWZ/"		sp=subs:fc=ao:gn=m:vc=M@XOWZ:gl=shipyard
"MXWJ>L/"	sp=nmpr:sm=pers:gn=m:vc=M\:XW.J@>;L:gl=Mehujael
"MXWJM/"	sp=subs:vc=MAX\:AWIJM:gl=<uncertain>
"MXWL/"		sp=subs:fc=ao:gn=m:vc=M@XOWL:gl=round dance
"MXWL=/"	sp=nmpr:fc=ao:sm=pers:gn=m:vc=M@XOWL:gl=Mahol
"MXZH/"		sp=subs:gn=m:vc=MAX\:AZEH:gl=vision
"MXZH=/"	sp=subs:vc=MEX\:EZ@H:gl=opening
"MXZJ>WT/"	sp=nmpr:sm=pers:gn=m:vc=MAX\:AZIJ>OWT:gl=Mahazioth
"MXJ/"		sp=subs:gn=m:vc=M\:XIJ:gl=stroke
"MXJD>/"	sp=nmpr:sm=pers:gn=m:vc=M\:XIJD@>:gl=Mehida
"MXJH/"		sp=subs:rt=XJH:vc=MIX\:J@H:gl=life preservation
"MXJJ>L/"	sp=nmpr:sm=pers:gn=m:vc=M\:XIJ.J@>;L:gl=Mehujael
"MXJR/"		sp=subs:gn=m:vc=M\:XIJR:gl=price
"MXJR=/"	sp=nmpr:sm=pers:gn=m:vc=M\:XIJR:gl=Mehir
"MXLH/"		sp=subs:vc=MAX\:AL@H:gl=disease
"MXLH=/"	sp=subs:rt=XWL:vc=M\:XOL@H:gl=round dance
"MXLH==/"	sp=subs:vc=M\:XIL.@H:gl=hole
"MXLH===/"	sp=subs:gn=m:vc=MAX\:ALEH:gl=disease
"MXLH====/"	sp=nmpr:sm=pers:gn=m:vc=MAX\:L@H:gl=Mahlah
"MXLWJM/"	sp=subs:vc=MAX\:ALW.JIM:gl=diseases
"MXLWN/"	sp=nmpr:sm=pers:gn=m:vc=MAX\:LOWN:gl=Mahlon
"MXLJ/"		sp=adjv:ls=gntl:vc=MAX\:LIJ:gl=Mahlite
"MXLJ=/"	sp=nmpr:sm=pers:gn=m:vc=MAX\:LIJ:gl=Mahli
"MXLP/"		sp=subs:vc=MAX\:AL@P:gl=disease
"MXLPWT/"	sp=subs:vc=MAX\:L@POWT:gl=plaits
"MXLYWT/"	sp=subs:vc=MAX\:AL@YOWT:gl=robes
"MXLQT/"	sp=subs:fc=seg:vc=MAX\:ALOQET:gl=division
"MXLT/"		sp=subs:rt=<unknown>:vc=M@X\:ALAT:gl=<uncertain>
"MXLT=/"	sp=nmpr:sm=pers:gn=f:vc=M@X\:ALAT:gl=Mahalath
"MXLTJ/"	sp=adjv:ls=gntl:rt=<uncertain>:vc=M\:XOL@TIJ:gl=Meholathite
"MXM>T/"	sp=subs:vc=MAX\:AM@>OT:gl=<uncertain>
"MXMD/"		sp=subs:gn=m:vc=MAX\:M@D:gl=desire
"MXMD=/"	sp=subs:vc=MAX\:MOD:gl=something precious
"MXML/"		sp=subs:gn=m:vc=MAX\:MAL:gl=<uncertain>
"MXNH/"		sp=subs:vc=MAX\:ANEH:gl=camp
"MXNH_DN/"	sp=nmpr:sm=topo:vc=MAX\:AN;H_D@N:gl=Mahaneh Dan
"MXNJM/"	sp=nmpr:sm=topo:vc=MAX\:ANAJIM:gl=Mahanaim
"MXNQ/"		sp=subs:gn=m:vc=MAX\:AN@Q:gl=suffocation
"MXSH/"		sp=subs:gn=m:rt=XSH:vc=MAX\:SEH:gl=refuge
"MXSWM/"	sp=subs:gn=m:rt=XSM:vc=MAX\:SOWM:gl=muzzle
"MXSWR/"	sp=subs:gn=m:rt=XSR:vc=MAX\:SOWR:gl=need
"MXSJH/"	sp=nmpr:sm=pers:gn=m:vc=MAX\:S;J@H:gl=Mahseiah
"MXY["		sp=verb:fc=2g:vc=M@XAY:gl=break
"MXY/"		sp=subs:gn=m:vc=MAXAY:gl=breaking
"MXYB/"		sp=subs:gn=m:vc=MAX\:Y;B:gl=hewn stone
"MXYH/"		sp=subs:vc=MEX\:EY@H:gl=half
"MXYJT/"	sp=subs:gn=f:rt=XYH:vc=MAX\:AYIJT:gl=half
"MXQ["		sp=verb:fc=2g:gl=skin
"MXQR/"		sp=subs:vc=MEX\:Q@R:gl=<uncertain>
"MXR/"		sp=subs:ls=padv:gn=m:vc=M@X@R:gl=next day
